genes_ens	genes_symb	DMSO_24h_1	DMSO_24h_2	DMSO_24h_3	DMSO_24h_4	Enz_1uM_24h_1	Enz_1uM_24h_2	Enz_1uM_24h_3	Enz_1uM_24h_4	siCon_48h_1	siCon_48h_2	siCon_48h_3	siCon_48h_4	siAR_48h_1	siAR_48h_2	siAR_48h_3	siAR_48h_4
ENSG00000272942	CTA-246H3.12	1.736148807	0.684745052	0.996702599	0.616349062	0.833915214	0.662614107	0.836304527	1.049055898	0.778298733	0.515241019	0.610672513	0.397305257	0.485392412	0.3343616	0.691317057	1.256122679
ENSG00000272973	KB-1125A3.11	1.736148807	0.836910619	1.231220858	0.968548526	1.181379886	0.952507779	1.579686329	1.966979808	1.3342264	1.60297206	1.933796291	0.953532617	1.887637157	2.875509762	0.888836216	1.884184019
ENSG00000272977	CTA-390C10.10	1.446790673	2.016193764	1.75888694	1.760997319	2.258520371	2.112082466	2.694759033	3.999525609	1.278633634	1.60297206	1.323123778	1.350837874	0.916852334	0.936212481	0.395038318	2.072602421
ENSG00000272986	RP11-46J23.1	1.25388525	1.217324537	1.582998246	1.496847721	1.00764755	1.118161306	0.789843165	0.91792391	0.611520433	0.915984034	1.272234402	1.907065234	0.970784824	0.3343616	1.086355375	1.570153349
ENSG00000272989	RP13-616I3.1	3.954561172	3.42372526	3.400514751	6.427640215	3.787364929	3.685790971	2.973527208	3.409431667	2.6684528	4.808916179	4.27470759	5.164968341	3.721341825	5.015424003	1.382634114	2.951888297
ENSG00000272990	RP11-305K5.1	0.868074404	0.760827836	1.113961729	1.056598392	0.521197009	0.786854252	0.836304527	0.655659936	1.667783	1.774719066	1.933796291	1.430298925	1.132582294	0.73559552	2.073951171	0.94209201
ENSG00000272993	RP11-196G18.24	18.51892061	8.521271758	7.211436454	5.899341019	6.532335841	7.040274888	7.201511208	5.114147501	7.560616268	7.957611297	7.786074539	8.740715654	9.869645709	10.03084801	16.19657105	9.420920096
ENSG00000272994	RP11-332H14.2	9.163007593	7.684361139	7.973620795	10.30183432	8.617123875	9.690731316	9.571040702	9.375937084	7.782987334	7.900362295	7.226291402	8.025566192	9.546050768	9.094635525	10.96231333	9.420920096
ENSG00000273008	RP11-351D16.3	2.797128634	3.385683868	2.755589539	4.490543164	3.231421453	2.567629665	2.508913582	3.474997661	3.057602167	4.00743015	3.256920069	4.449818879	3.721341825	3.276743682	2.172710751	3.014694431
ENSG00000273015	RP11-352M15.2	47.64763948	41.04666173	38.1678466	35.57214585	43.95428106	45.88602691	45.2533672	41.9622359	39.02612221	38.01333742	35.724342	36.39316154	51.34373068	46.74375171	59.15698817	40.32153801
ENSG00000273018	CTD-2303H24.2	0.675168981	3.119394126	2.579700845	2.993695443	3.405153789	4.058511406	4.227983999	4.589619552	1.8345613	1.545723058	1.933796291	1.191915771	2.42696206	0.13374464	1.777672432	3.265918967
ENSG00000273024	INTS4P2	1.543243384	1.864028197	0.644925211	0.704398928	1.563591026	1.325228214	1.254456791	1.442451859	1.056262567	0.915984034	1.323123778	0.874071565	0.701122373	0.60185088	1.777672432	1.444541081
ENSG00000273026	RP11-422P24.10	1.543243384	0.494538093	0.644925211	0.44024933	0.799168746	0.49696058	0.511074989	0.852357917	1.056262567	1.60297206	1.17045565	0.55622736	1.132582294	1.805552641	1.283874535	1.193316545
